scenario,agent_id,hour,vulnerability_score,age_bucket,cell_x,cell_y,raw_heat,effective_exposure,in_shelter,shelter_building_id
baseline,217,0,0.2538767051714499,adult,12,8,0.0,0.0,0,
baseline,218,0,0.2824197149857894,adult,8,6,0.1994,0.1994,0,
baseline,219,0,0.5636693672210529,child,1,1,0.5178,0.5178,0,
baseline,220,0,0.6948217456126036,child,16,0,0.4473,0.4473,0,
baseline,221,0,0.8780226911713226,elderly,2,3,0.2136,0.2136,0,
baseline,222,0,0.30180138271631185,adult,3,9,0.0,0.0,0,
baseline,223,0,0.19113770908623962,adult,5,8,0.0719,0.0719,0,
baseline,224,0,0.22956484340680797,adult,13,1,0.5389,0.5389,0,
baseline,225,0,0.2188924625952585,adult,1,6,0.1328,0.1328,0,
baseline,226,0,0.688413136429157,elderly,7,2,0.4768,0.4768,0,
baseline,227,0,0.7561906848382751,elderly,8,2,0.5176,0.5176,0,
baseline,228,0,0.566836488720734,child,4,1,0.5032,0.5032,0,
baseline,229,0,0.5049212893202911,child,9,6,0.1355,0.1355,0,
baseline,230,0,0.2379441270070261,adult,14,3,0.1603,0.1603,0,
baseline,231,0,0.21828841423349848,adult,15,9,0.0,0.0,0,
baseline,232,0,0.1839452306394218,adult,8,5,0.3943,0.3943,0,
baseline,233,0,0.29492040259128455,adult,2,9,0.0057,0.0057,0,
baseline,234,0,0.29013491932937124,adult,5,8,0.0719,0.0719,0,
baseline,235,0,0.34669130855252334,adult,13,3,0.1232,0.1232,0,
baseline,236,0,0.28232450555661204,adult,11,7,0.0,0.0,0,
baseline,237,0,0.5757509116895175,child,6,4,0.171,0.171,0,
baseline,238,0,0.5403723756597331,child,8,4,0.4401,0.4401,0,
baseline,239,0,0.5952182201485263,child,7,3,0.1951,0.1951,0,
baseline,0,1,0.5380812195557422,child,8,9,0.0,0.0,0,
baseline,1,1,0.5438885528571922,child,16,5,0.1994,0.1994,0,
baseline,2,1,0.7202561588196462,elderly,19,8,0.0,0.0,0,
baseline,3,1,0.216473321571373,adult,14,3,0.1702,0.1702,0,
baseline,4,1,0.179291256914281,adult,15,1,0.4548,0.4548,0,
baseline,5,1,0.7742080791371789,elderly,13,0,0.4671,0.4671,0,
baseline,6,1,0.6860132284779408,elderly,17,0,0.4725,0.4725,0,
baseline,7,1,0.24933523196076668,adult,3,1,0.4409,0.4409,0,
baseline,8,1,0.6343234811450121,child,6,6,0.1458,0.1458,0,
baseline,9,1,0.2937927377360272,adult,1,1,0.522,0.522,0,
baseline,10,1,0.29067965400666446,adult,9,1,0.5585,0.5585,0,
baseline,11,1,0.29337902378575376,adult,11,2,0.4604,0.4604,0,
baseline,12,1,0.2580821854764632,adult,8,2,0.4665,0.4665,0,
baseline,13,1,0.23208808428151181,adult,7,6,0.1989,0.1989,0,
baseline,14,1,0.22746461649058938,adult,5,5,0.133,0.133,0,
baseline,15,1,0.4919996898463789,child,16,1,0.5735,0.5735,0,
baseline,16,1,0.7297879386484595,child,14,9,0.0,0.0,0,
baseline,17,1,0.6910243835711712,elderly,9,9,0.0,0.0,0,
baseline,18,1,0.27290224990437284,adult,12,4,0.3999,0.3999,0,
baseline,19,1,0.5918994514851882,child,11,9,0.0242,0.0242,0,
baseline,20,1,0.20000931813748296,adult,6,6,0.1458,0.1458,0,
baseline,21,1,0.2566225962051309,adult,9,1,0.5585,0.5585,0,
baseline,22,1,0.2636593411524598,adult,11,0,0.4767,0.4767,0,
baseline,23,1,0.6949427075347202,child,0,4,0.274,0.274,0,
baseline,24,1,0.36652485810151314,adult,13,1,0.4699,0.4699,0,
baseline,25,1,0.2443193234562278,adult,6,4,0.1279,0.1279,0,
baseline,26,1,0.3010033863387559,adult,13,5,0.1247,0.1247,0,
baseline,27,1,0.264862699158784,adult,11,2,0.4604,0.4604,0,
baseline,28,1,0.25879019854094,adult,3,2,0.4978,0.4978,0,
baseline,29,1,0.31974955111962444,adult,1,7,0.0,0.0,0,
baseline,30,1,0.1555928571749553,adult,6,4,0.1279,0.1279,0,
baseline,31,1,0.548458082951535,child,8,1,0.4262,0.4262,0,
baseline,32,1,0.2544761312097897,adult,18,3,0.1225,0.1225,0,
baseline,33,1,0.3227939887511161,adult,12,1,0.5089,0.5089,0,
baseline,34,1,0.6558716694259125,child,6,8,0.0,0.0,0,
baseline,35,1,0.5492700374659585,child,4,4,0.1655,0.1655,0,
baseline,36,1,0.28742961388729216,adult,9,8,0.0,0.0,0,
baseline,37,1,0.862770385621313,elderly,3,2,0.4978,0.4978,0,
baseline,38,1,0.23693857704201632,adult,9,5,0.4355,0.4355,0,
baseline,39,1,0.2454791545887237,adult,5,4,0.1214,0.1214,0,
baseline,40,1,0.583334998890488,child,10,1,0.5078,0.5078,0,
baseline,41,1,0.2636638551640602,adult,13,9,0.0562,0.0562,0,
baseline,42,1,0.9350941601422765,elderly,3,1,0.4409,0.4409,0,
baseline,43,1,0.21562936030731708,adult,1,6,0.1677,0.1677,0,
baseline,44,1,0.5397436170004551,child,19,3,0.1078,0.1078,0,
baseline,45,1,0.18354442553252845,adult,17,2,0.4614,0.4614,0,
baseline,46,1,0.27255587776068274,adult,11,0,0.4767,0.4767,0,
baseline,47,1,0.30152879677991906,adult,6,5,0.2056,0.2056,0,
baseline,48,1,0.2424720207354753,adult,12,8,0.003,0.003,0,
baseline,49,1,0.7645513584523809,elderly,18,1,0.4224,0.4224,0,
baseline,50,1,0.41514306586559097,adult,9,8,0.0,0.0,0,
baseline,51,1,0.2061884568547753,adult,1,1,0.522,0.522,0,
baseline,52,1,0.31853752554381776,adult,12,3,0.4143,0.4143,0,
baseline,53,1,0.2638404878487771,adult,17,7,0.0,0.0,0,
baseline,54,1,0.21400695401395703,adult,4,0,0.457,0.457,0,
baseline,55,1,0.3026292881022382,adult,17,3,0.1461,0.1461,0,
baseline,56,1,0.7372548908762495,elderly,4,0,0.457,0.457,0,
baseline,57,1,0.2208870448850433,adult,18,8,0.0057,0.0057,0,
baseline,58,1,0.3144823244892736,adult,7,2,0.5661,0.5661,0,
baseline,59,1,0.22063955497119142,adult,14,6,0.1821,0.1821,0,
baseline,60,1,0.5166058535491507,child,10,5,0.5101,0.5101,0,
baseline,61,1,0.23464792877787313,adult,7,3,0.253,0.253,0,
baseline,62,1,0.7780271499327811,elderly,15,3,0.1697,0.1697,0,
baseline,63,1,0.7701272985546185,elderly,15,7,0.0,0.0,0,
baseline,64,1,0.260395348860413,adult,3,9,0.0,0.0,0,
baseline,65,1,0.18124989624959473,adult,0,6,0.1227,0.1227,0,
baseline,66,1,0.7479987221088478,elderly,14,2,0.5776,0.5776,0,
baseline,67,1,0.2747694705910339,adult,19,0,0.4606,0.4606,0,
baseline,68,1,0.2623728676439467,adult,13,3,0.196,0.196,0,
baseline,69,1,0.3475954363017591,adult,13,3,0.196,0.196,0,
baseline,70,1,0.18683697056304266,adult,17,4,0.2118,0.2118,0,
baseline,71,1,0.2252873014963322,adult,4,8,0.0,0.0,0,
baseline,72,1,0.3073174185068305,adult,11,5,0.4355,0.4355,0,
baseline,73,1,0.28651314785661347,adult,16,5,0.1994,0.1994,0,
baseline,74,1,0.7497164804572996,elderly,10,3,0.401,0.401,0,
baseline,75,1,0.8576126643135189,elderly,19,8,0.0,0.0,0,
baseline,76,1,0.24339714453787592,adult,17,4,0.2118,0.2118,0,
baseline,77,1,0.5658695094941405,child,16,3,0.1828,0.1828,0,
baseline,78,1,0.2557292455827229,adult,8,8,0.0,0.0,0,
baseline,79,1,0.31274852127145286,adult,2,8,0.0,0.0,0,
baseline,80,1,0.24192319037630758,adult,0,9,0.0,0.0,0,
baseline,81,1,0.7495257436955758,elderly,12,2,0.5562,0.5562,0,
baseline,82,1,0.2094635281564155,adult,13,2,0.4278,0.4278,0,
baseline,83,1,0.2368250785688548,adult,13,0,0.4671,0.4671,0,
baseline,84,1,0.7597628712547879,elderly,14,1,0.5077,0.5077,0,
baseline,85,1,0.2134449412553841,adult,12,7,0.0,0.0,0,
baseline,86,1,0.26029034175119803,adult,8,0,0.4842,0.4842,0,
baseline,87,1,0.8739793646798583,elderly,10,0,0.5556,0.5556,0,
baseline,88,1,0.23068402377938965,adult,16,6,0.0827,0.0827,0,
baseline,89,1,0.21593278881496686,adult,11,1,0.5237,0.5237,0,
baseline,90,1,0.7286621276353521,elderly,8,7,0.0564,0.0564,0,
baseline,91,1,0.2651344904420061,adult,5,7,0.0,0.0,0,
baseline,92,1,0.20377115206369537,adult,14,7,0.054,0.054,0,
baseline,93,1,0.20132533923371512,adult,15,7,0.0,0.0,0,
baseline,94,1,0.7049720665964455,elderly,15,0,0.4372,0.4372,0,
baseline,95,1,0.25100462370739207,adult,1,3,0.0745,0.0745,0,
baseline,96,1,0.4955828490431283,child,15,1,0.4548,0.4548,0,
baseline,97,1,0.27283994893939245,adult,7,8,0.0,0.0,0,
baseline,98,1,0.21712454129440448,adult,10,1,0.5078,0.5078,0,
baseline,99,1,0.7185461557640977,elderly,9,7,0.0,0.0,0,
baseline,100,1,0.4754623971272218,child,4,9,0.0,0.0,0,
baseline,101,1,0.814329171491318,elderly,1,9,0.0,0.0,0,
baseline,102,1,0.9382392363354756,elderly,15,7,0.0,0.0,0,
baseline,103,1,0.30010692589416543,adult,14,7,0.054,0.054,0,
baseline,104,1,0.8126300272600911,elderly,7,2,0.5661,0.5661,0,
baseline,105,1,0.23441354547710377,adult,3,2,0.4978,0.4978,0,
baseline,106,1,0.5066140359967927,child,9,5,0.4355,0.4355,0,
baseline,107,1,0.5631658536919568,child,4,0,0.457,0.457,0,
baseline,108,1,0.23073770055214435,adult,4,8,0.0,0.0,0,
baseline,109,1,0.29657377246189087,adult,2,9,0.0,0.0,0,
baseline,110,1,0.27279255604127917,adult,7,4,0.1568,0.1568,0,
baseline,111,1,0.5291861555650081,child,13,5,0.1247,0.1247,0,
baseline,112,1,0.8908951292054481,elderly,16,1,0.5735,0.5735,0,
baseline,113,1,0.5158957569432061,child,12,4,0.3999,0.3999,0,
baseline,114,1,0.8593264155201461,elderly,14,8,0.028,0.028,0,
baseline,115,1,0.32052011433136096,adult,18,6,0.2342,0.2342,0,
baseline,116,1,0.5844185905950111,child,19,1,0.463,0.463,0,
baseline,117,1,0.24225311600942953,adult,12,5,0.4396,0.4396,0,
baseline,118,1,0.2089072670144541,adult,10,8,0.0,0.0,0,
baseline,119,1,0.9022295288833049,elderly,14,9,0.0,0.0,0,
baseline,120,1,0.5289935218684951,child,14,4,0.1503,0.1503,0,
baseline,121,1,0.42582414868915897,adult,5,3,0.1824,0.1824,0,
baseline,122,1,0.321155028793213,adult,6,5,0.2056,0.2056,0,
baseline,123,1,0.6995000220419753,child,14,0,0.493,0.493,0,
baseline,124,1,0.562529225395729,child,5,9,0.0,0.0,0,
baseline,125,1,0.8475195178808403,elderly,17,2,0.4614,0.4614,0,
baseline,126,1,0.5540215869676903,child,15,3,0.1697,0.1697,0,
baseline,127,1,0.766520446349269,elderly,10,9,0.0,0.0,0,
baseline,128,1,0.7416409671545062,elderly,16,9,0.0153,0.0153,0,
baseline,129,1,0.1865474786824886,adult,4,0,0.457,0.457,0,
baseline,130,1,0.5991072876975088,child,4,8,0.0,0.0,0,
baseline,131,1,0.6713434192845964,child,1,9,0.0,0.0,0,
baseline,132,1,0.26809246029419453,adult,14,3,0.1702,0.1702,0,
baseline,133,1,0.22890676933880374,adult,3,8,0.0,0.0,0,
baseline,134,1,0.21223556584054845,adult,10,5,0.5101,0.5101,0,
baseline,135,1,0.4871906993496808,child,10,4,0.3983,0.3983,0,
baseline,136,1,0.5813838397364346,child,19,9,0.0,0.0,0,
baseline,137,1,0.1834367475007917,adult,17,1,0.3945,0.3945,0,
baseline,138,1,0.30240291417804127,adult,13,6,0.244,0.244,0,
baseline,139,1,0.28188702499195395,adult,11,0,0.4767,0.4767,0,
baseline,140,1,0.3042444979413341,adult,13,6,0.244,0.244,0,
baseline,141,1,0.2410183959966361,adult,10,5,0.5101,0.5101,0,
